#NSGA2
popsize 50
maxGen 20
numVar 8
numObj 2
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 20
currentGen	1
evaluateCount	50
totalTime	3.32169
firstFrontCount	1
frontCount	50
avgEvalTime	0.0650438
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
328.318	995.403	518.555	105.278	12.9739	472.347	442.708	841.68	1.65252	669.868	0	0	0	0	0	0	
378.238	193.799	237.082	525.898	496.167	590.213	464.766	272.467	1.80471	753.204	0	0	0	0	0	0	
483.456	770.51	700.577	906.319	841.991	246.256	323.29	702.342	1.48864	585.904	0	0	0	0	0	0	
192.354	787.777	728.435	275.304	56.91	220.926	275.199	251.236	1.62767	674.2	0	0	0	0	0	0	
200.313	385.402	850.142	810.937	418.608	822.367	639.914	351.233	1.71419	678.483	0	0	0	0	0	0	
294.564	109.317	724.157	483.78	713.302	381.227	265.775	285.461	1.72857	682.052	0	0	0	0	0	0	
155.203	503.686	186.693	777.412	433.984	416.504	522.531	575.391	1.55073	608.507	0	0	0	0	0	0	
225.351	505.999	21.1728	535.898	178.027	678.924	42.8251	502.606	1.71197	746.033	0	0	0	0	0	0	
750.728	37.8066	602.867	123.268	77.6271	646.349	78.189	855.765	1.68243	745.481	0	0	0	0	0	0	
50.9253	795.472	244.833	149.285	304.816	3.21081	720.264	525.902	1.7715	695.505	0	0	0	0	0	0	
653.901	601.036	843.796	236.883	705.356	418.766	204.096	0.502792	1.63889	593.236	0	0	0	0	0	0	
546.843	517.621	96.0143	233.131	476.468	365.531	384.523	946.778	1.71834	758.19	0	0	0	0	0	0	
684.484	471.152	53.6074	509.751	495.06	14.5889	394.242	280.728	1.69726	661.09	0	0	0	0	0	0	
14.301	557.184	455.511	438.755	899.868	899.078	948.446	721.152	1.74833	680.055	0	0	0	0	0	0	
456.558	124.682	976.783	87.6389	414.96	153.515	198.834	360.107	1.83013	745.286	0	0	0	0	0	0	
441.996	875.738	329.8	922.523	454.898	871.391	77.2046	454.442	1.67789	664.811	0	0	0	0	0	0	
879.992	385.087	882.175	7.28273	327.372	494.891	444.096	38.7864	1.77378	787.818	0	0	0	0	0	0	
292.531	467.214	969.326	400.021	111.304	727.945	643.102	296.788	1.71353	631.67	0	0	0	0	0	0	
70.2036	826.45	210.048	506.327	345.492	844.012	344.422	631.807	1.66675	702.741	0	0	0	0	0	0	
594.57	227.332	61.1331	585.573	255.169	461.757	922.745	228.752	1.83201	690.716	0	0	0	0	0	0	
913.673	264.139	788.051	243.06	367.486	476.581	729.836	638.5	1.71099	744.787	0	0	0	0	0	0	
807.033	670.161	73.3483	562.931	332.665	224.798	158.94	727.496	1.7846	751.405	0	0	0	0	0	0	
584.898	174.602	536.624	440.873	389.906	894.547	428.559	6.07477	1.74782	699.794	0	0	0	0	0	0	
854.05	198.569	805.523	428.479	705.398	211.555	199.436	558.186	1.55195	599.202	0	0	0	0	0	0	
344.763	555.142	287.651	726.543	730.464	406.765	121.037	426.096	1.73819	739.938	0	0	0	0	0	0	
876.405	836.208	16.1738	773.101	744.138	184.99	326.567	570.159	1.56189	584.579	0	0	0	0	0	0	
130.469	557.488	271.406	493.946	460.535	170.52	113.136	520.715	1.45179	557.515	0	0	0	0	0	0	
335.604	110.879	502.927	295.029	834.123	275.33	679.042	521.2	1.80704	695.933	0	0	0	0	0	0	
149.126	936.271	125.85	401.334	505.666	776.049	774.276	731.681	1.78072	693.586	0	0	0	0	0	0	
725.878	175.717	856.848	98.1332	875.368	137.384	219.006	87.9483	1.62333	678.906	0	0	0	0	0	0	
609.15	120.947	392.126	975.117	140.758	519.862	95.1095	500.584	1.72847	783.646	0	0	0	0	0	0	
783.916	648.411	844.355	341.551	761.079	628.25	992.835	158.341	1.71628	721.325	0	0	0	0	0	0	
920.504	304.526	944.713	457.174	768.862	632.004	92.5409	177.675	1.85016	783.005	0	0	0	0	0	0	
173.476	370.883	973.738	474.675	577.024	281.506	172.025	21.2992	1.49969	594.443	0	0	0	0	0	0	
963.655	604.189	806.432	241.359	199.156	766.297	782.333	933.821	1.86306	740.619	0	0	0	0	0	0	
631.221	285.645	997.408	503.247	837.119	267.275	213.967	389.405	1.59828	638.27	0	0	0	0	0	0	
792.393	195.668	817.673	145.202	430.601	693.803	416.085	673.428	1.69333	709.384	0	0	0	0	0	0	
143.177	758.87	660.425	440.291	340.268	762.978	382.703	59.549	1.48743	571.181	0	0	0	0	0	0	
78.8271	28.8848	234.566	94.6321	259.28	804.584	689.346	49.7837	1.75673	727.686	0	0	0	0	0	0	
765.749	422.929	974.663	49.8731	876.031	151.407	92.4264	596.061	1.71158	628.58	0	0	0	0	0	0	
212.396	514.942	388.345	593.491	853.418	91.8847	331.317	859.525	1.6735	613.221	0	0	0	0	0	0	
685.478	135.283	136.459	130.505	182.425	75.1334	966.14	340.98	1.53333	637.342	0	0	0	0	0	0	
264.866	633.246	552.277	340.983	594.062	786.731	596.861	919.752	1.64167	614.154	0	0	0	0	0	0	
859.105	751.338	272.066	210.971	392.129	349.293	355.712	63.9183	1.6891	669.581	0	0	0	0	0	0	
737.162	284.46	470.914	494.007	456.619	716.799	472.23	38.6922	1.7917	719.877	0	0	0	0	0	0	
290.048	49.8421	966.741	924.313	324.248	946.167	387.071	487.837	1.73068	684.809	0	0	0	0	0	0	
848.814	954.132	289.726	576.811	623.049	715.718	505.58	62.1308	1.53782	615.064	0	0	0	0	0	0	
815.089	976.018	550.438	36.4976	243.385	746.336	72.7964	896.628	1.62069	655.876	0	0	0	0	0	0	
767.943	763.911	376.4	825.732	171.742	403.817	639.799	843.646	1.72545	659.035	0	0	0	0	0	0	
449.123	720.478	791.738	192.834	220.492	422.272	673.39	946.121	1.74535	751.691	0	0	0	0	0	0	



#Generation 2 / 20
currentGen	2
evaluateCount	100
totalTime	7.28634
firstFrontCount	1
frontCount	49
avgEvalTime	0.0580076
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
859.105	751.338	422.121	234.876	392.129	349.293	355.712	583.064	1.7879	730.49	0	0	0	0	0	0	
546.843	517.621	376.223	201	476.468	365.531	676.258	854.552	1.90476	686.804	0	0	0	0	0	0	
963.655	604.189	806.432	241.359	199.156	766.297	782.333	933.821	1.86306	740.619	0	0	0	0	0	0	
767.943	763.911	617.865	825.732	171.742	212.021	272.099	899.759	1.70114	683.367	0	0	0	0	0	0	
546.843	517.621	96.0143	233.131	476.468	365.531	384.523	946.778	1.71834	758.19	0	0	0	0	0	0	
296.941	521.873	561.1	275.304	56.91	211.071	275.199	251.236	1.6805	668.409	0	0	0	0	0	0	
744.192	859.893	801.547	145.202	430.601	562.013	373.345	607.96	1.69784	695.279	0	0	0	0	0	0	
963.655	604.189	909.535	241.359	199.156	766.901	826.89	933.821	1.85169	770.921	0	0	0	0	0	0	
859.105	751.338	272.066	210.971	392.129	349.293	355.712	63.9183	1.6891	669.581	0	0	0	0	0	0	
859.105	751.338	272.066	110.134	189.696	367.999	402.046	63.9183	1.739	740.15	0	0	0	0	0	0	
449.123	720.478	791.738	192.834	220.492	422.272	673.39	946.121	1.74535	751.691	0	0	0	0	0	0	
913.673	121.398	507.842	243.06	367.486	355.366	438.1	638.5	1.6548	679.278	0	0	0	0	0	0	
963.655	604.189	806.432	346.586	420.428	731.662	782.333	568.492	1.66301	711.363	0	0	0	0	0	0	
767.943	763.911	376.4	825.732	171.742	403.817	639.799	843.646	1.72545	659.035	0	0	0	0	0	0	
444.89	470.514	96.0143	397.325	476.468	365.531	413.817	357.744	1.86803	776.744	0	0	0	0	0	0	
264.866	633.246	552.277	340.983	594.062	786.731	596.861	919.752	1.64167	614.154	0	0	0	0	0	0	
786.173	87.1129	272.066	210.971	387.737	454.357	398.452	63.9183	1.48804	545.029	0	0	0	0	0	0	
885.044	385.087	497.579	299.714	250.473	494.891	385.684	0	1.68359	690.876	0	0	0	0	0	0	
913.673	264.139	788.051	243.06	367.486	476.581	729.836	638.5	1.71099	744.787	0	0	0	0	0	0	
913.673	264.139	788.051	243.06	367.486	565.851	729.836	638.5	1.85138	746.767	0	0	0	0	0	0	
192.354	787.777	728.435	275.304	56.91	220.926	275.199	251.236	1.62767	674.2	0	0	0	0	0	0	
757.958	471.152	105.273	509.751	495.06	577.514	394.242	360.453	1.59547	612.685	0	0	0	0	0	0	
378.238	193.799	237.082	525.898	496.167	590.213	464.766	272.467	1.80471	753.204	0	0	0	0	0	0	
854.05	188.441	672.428	428.479	380.925	211.555	203.792	909.978	1.63596	691.106	0	0	0	0	0	0	
807.033	670.161	73.3483	562.931	332.665	224.798	158.94	727.496	1.7846	751.405	0	0	0	0	0	0	
328.318	995.403	518.555	105.278	12.9739	472.347	442.708	841.68	1.65252	669.868	0	0	0	0	0	0	
270.856	135.207	259.916	94.6321	259.28	24.7762	401.988	49.7837	1.86241	737.562	0	0	0	0	0	0	
155.203	493.907	186.693	383.118	460.416	416.504	732.891	585.919	1.70909	660.4	0	0	0	0	0	0	
497.067	417.107	808.119	87.6389	495.384	153.515	198.834	360.107	1.48521	584.936	0	0	0	0	0	0	
