#NSGA2
popsize 100
maxGen 20
numVar 8
numObj 2
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 20
currentGen	1
evaluateCount	100
totalTime	526.662
firstFrontCount	1
frontCount	100
avgEvalTime	5.26572
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
0.458408	0.712336	0.32335	0.112191	0.692329	0.957784	0.981521	0.549672	73.6182	396.471	0	0	0	0	0	0	
0.861796	0.668951	0.590289	0.361184	0.0509109	0.886052	0.540433	0.824738	34.3028	441.64	0	0	0	0	0	0	
0.826689	0.623825	0.0206975	0.61204	0.104426	0.510059	0.50998	0.352272	135.1	360.542	0	0	0	0	0	0	
0.445708	0.308167	0.532525	0.540792	0.387668	0.756549	0.97103	0.667541	1126.22	450.831	0	0	0	0	0	0	
0.537456	0.348408	0.136627	0.443426	0.134159	0.247608	0.393824	0.418705	137.096	411.494	0	0	0	0	0	0	
0.83982	0.22589	0.189419	0.0106337	0.424232	0.815824	0.439345	0.310149	67.6067	328.009	0	0	0	0	0	0	
0.990291	0.244562	0.704167	0.943425	0.809511	0.368873	0.242983	0.453924	299.776	401.158	0	0	0	0	0	0	
0.651722	0.862121	0.587705	0.703363	0.225232	0.768293	0.041548	0.485032	1354.88	456.823	0	0	0	0	0	0	
0.201129	0.0976238	0.206338	0.00337129	0.341304	0.452743	0.59023	0.675129	178.868	378.047	0	0	0	0	0	0	
0.541638	0.00452691	0.998896	0.00599337	0.127759	0.593002	0.271881	0.559116	375.765	332.367	0	0	0	0	0	0	
0.821166	0.600441	0.516057	0.270911	0.188844	0.453671	0.95618	0.573715	41.2768	432.481	0	0	0	0	0	0	
0.271996	0.754174	0.327473	0.673061	0.647835	0.749112	0.872404	0.194434	2922.8	424.078	0	0	0	0	0	0	
0.0823783	0.627391	0.940242	0.0167505	0.252549	0.726522	0.13941	0.226838	647.294	326.27	0	0	0	0	0	0	
0.245651	0.143515	0.062107	0.132604	0.864931	0.113841	0.227974	0.445015	105.241	407.721	0	0	0	0	0	0	
0.486089	0.241862	0.797049	0.626009	0.586064	0.0117724	0.30893	0.258007	2310.8	408.231	0	0	0	0	0	0	
0.413243	0.935863	0.0522892	0.231803	0.405917	0.341143	0.94552	0.693829	76.9574	363.089	0	0	0	0	0	0	
0.221316	0.727973	0.704917	0.872761	0.856339	0.40672	0.456822	0.734946	3195.62	408.87	0	0	0	0	0	0	
0.69381	0.473109	0.748243	0.875837	0.784922	0.0726055	0.89344	0.838115	2019.6	443.935	0	0	0	0	0	0	
0.0280853	0.856524	0.471666	0.197476	0.846949	0.4817	0.646426	0.279024	2532.18	350.117	0	0	0	0	0	0	
0.207181	0.414174	0.755842	0.932073	0.0608017	0.0190383	0.910523	0.473579	4162.86	396.307	0	0	0	0	0	0	
