#NSGA2
popsize 50
maxGen 200
numVar 8
numObj 3
numCons 8
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	14.8719
firstFrontCount	1
frontCount	50
avgEvalTime	0.295926
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	
0.866888	0.329394	0.407344	0.855539	0.864223	0.933612	0.19545	0.769076	44.8315	1888.97	2.48237	0	0	0	0	0	0	0	0	
0.642098	0.791637	0.134969	0.351179	0.192019	0.939146	0.41093	0.0837832	57.7711	4241.96	2.45294	0	0	0	0	0	0	0	0	
0.372194	0.825329	0.654716	0.608556	0.639699	0.411728	0.402378	0.908957	240.305	63.9298	2.41017	0	0	0	0	0	0	0	0	
0.801761	0.409885	0.545785	0.493083	0.31769	0.962941	0.0533333	0.0662037	99.1852	3204.95	2.40822	0	0	0	0	0	0	0	0	
0.605557	0.735333	0.08864	0.650646	0.320385	0.99568	0.901128	0.16779	607.136	648.356	2.47063	0	0	0	0	0	0	0	0	
0.725541	0.433013	0.639103	0.3273	0.760404	0.504358	0.00157049	0.561262	66.1163	5694.76	2.40624	0	0	0	0	0	0	0	0	
0.508989	0.206175	0.996979	0.518984	0.466711	0.318963	0.519574	0.235594	898.875	154.383	2.40683	0	0	0	0	0	0	0	0	
0.803261	0.340705	0.429245	0.854744	0.68156	0.595041	0.976856	0.883989	605.13	464.553	2.3759	0	0	0	0	0	0	0	0	
0.479103	0.337692	0.472365	0.640513	0.596113	0.909038	0.441787	0.194871	416.336	167.707	2.37933	0	0	0	0	0	0	0	0	
0.442834	0.292873	0.82839	0.219605	0.46977	0.999015	0.86584	0.567121	65.4889	4717.1	2.41789	0	0	0	0	0	0	0	0	
0.557717	0.956212	0.0671672	0.609448	0.692828	0.132012	0.887171	0.130594	24.0965	2140.45	2.35622	0	0	0	0	0	0	0	0	
0.751419	0.134764	0.6557	0.00887106	0.231551	0.0229031	0.126699	0.487186	182.54	7308.98	2.3977	0	0	0	0	0	0	0	0	
0.19824	0.663906	0.712302	0.0124093	0.569932	0.586498	0.238805	0.896258	29.4103	1133.94	2.42904	0	0	0	0	0	0	0	0	
0.365041	0.370724	0.291647	0.416176	0.603478	0.67986	0.58626	0.853952	497.022	229.726	2.42438	0	0	0	0	0	0	0	0	
0.12154	0.791956	0.545688	0.747084	0.260354	0.616189	0.635624	0.723429	192.006	14.7544	2.45409	0	0	0	0	0	0	0	0	
0.552791	0.748985	0.516716	0.0093755	0.569731	0.426483	0.301541	0.921368	47.09	4466.43	2.49807	0	0	0	0	0	0	0	0	
0.440902	0.402711	0.674354	0.310429	0.779448	0.798052	0.999619	0.571079	58.0142	3623.23	2.40616	0	0	0	0	0	0	0	0	
0.0545824	0.432797	0.444005	0.0587359	0.700831	0.738463	0.842879	0.716926	785.216	808.891	2.45099	0	0	0	0	0	0	0	0	
0.540039	0.872669	0.422862	0.687101	0.960062	0.634271	0.83191	0.140504	18.3417	1672.14	2.36971	0	0	0	0	0	0	0	0	
0.0485622	0.146281	0.399857	0.408642	0.278335	0.206962	0.220156	0.424146	162.585	2.35482	2.50757	0	0	0	0	0	0	0	0	
0.351517	0.190475	0.700452	0.618639	0.507158	0.168693	0.0859116	0.9075	260.355	48.9775	2.43222	0	0	0	0	0	0	0	0	
0.390587	0.29063	0.303635	0.971029	0.208803	0.444067	0.554539	0.433288	152.759	185.296	2.39238	0	0	0	0	0	0	0	0	
0.648574	0.578167	0.992771	0.409127	0.357463	0.261146	0.049931	0.553494	55.5848	3452.56	2.33998	0	0	0	0	0	0	0	0	
0.34404	0.191949	0.40543	0.714401	0.714211	0.218133	0.699801	0.634683	223.574	39.2767	2.43723	0	0	0	0	0	0	0	0	
0.0531074	0.826864	0.331466	0.238332	0.892415	0.384736	0.0498883	0.974667	256.291	199.515	2.39854	0	0	0	0	0	0	0	0	
0.332686	0.423378	0.535941	0.513832	0.29844	0.872269	0.502676	0.642896	323.987	49.0421	2.40672	0	0	0	0	0	0	0	0	
