#NSGA2
popsize 100
maxGen 20
numVar 8
numObj 3
numCons 7
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 20
currentGen	1
evaluateCount	100
totalTime	55.4563
firstFrontCount	1
frontCount	100
avgEvalTime	0.553326
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	
0.832378	0.441182	0.652438	0.0266152	0.655843	0.871326	0.486505	0.796232	0.969269	366.453	77.5178	0	0	0	0	0	0	0	
0.515853	0.816154	0.465718	0.111767	0.104959	0.057409	0.735048	0.0368903	0.956714	369.524	133.174	0	0	0	0	0	0	0	
0.239623	0.353901	0.509664	0.440232	0.449868	0.600583	0.788057	0.64075	0.957281	425.389	979.733	0	0	0	0	0	0	0	
0.393148	0.890376	0.93872	0.562006	0.710727	0.0570691	0.405393	0.286902	0.957798	432.506	2079.47	0	0	0	0	0	0	0	
0.322906	0.70053	0.143425	0.518363	0.899501	0.678441	0.218618	0.571913	0.986625	425.64	983.482	0	0	0	0	0	0	0	
0.249463	0.0457273	0.367036	0.936257	0.676347	0.904392	0.18891	0.815923	0.958245	351.249	5084.26	0	0	0	0	0	0	0	
0.764383	0.0462959	0.598549	0.256385	0.326056	0.151228	0.785338	0.851837	0.964555	359.443	417.221	0	0	0	0	0	0	0	
0.372513	0.00788526	0.658928	0.687556	0.734244	0.496608	0.6792	0.832397	0.952258	343.825	2494.97	0	0	0	0	0	0	0	
0.85642	0.224591	0.0276152	0.362756	0.295784	0.844572	0.966879	0.962464	0.952823	335.531	122.117	0	0	0	0	0	0	0	
0.958236	0.694582	0.281688	0.745228	0.803784	0.164392	0.613251	0.220563	0.944243	391.921	298.997	0	0	0	0	0	0	0	
0.851946	0.0111151	0.884809	0.635899	0.327012	0.0224253	0.466299	0.290001	0.997486	340.636	237.827	0	0	0	0	0	0	0	
0.460111	0.216593	0.107277	0.149759	0.649817	0.927357	0.63997	0.0121248	0.96502	418.113	63.4682	0	0	0	0	0	0	0	
0.220843	0.00194969	0.97829	0.275355	0.925179	0.57276	0.0691205	0.847062	0.977676	330.505	1395.02	0	0	0	0	0	0	0	
0.384955	0.61321	0.327846	0.322989	0.455392	0.757042	0.332792	0.358486	0.942867	433.131	68.9485	0	0	0	0	0	0	0	
0.0731397	0.664605	0.88093	0.154935	0.657018	0.340104	0.607721	0.445784	0.947266	330.346	2273.56	0	0	0	0	0	0	0	
0.860123	0.491774	0.420753	0.60725	0.379195	0.843903	0.756996	0.607758	0.922006	435.214	103.372	0	0	0	0	0	0	0	
0.814504	0.495796	0.833789	0.119634	0.892809	0.0823196	0.404227	0.710289	0.902061	355.857	70.6643	0	0	0	0	0	0	0	
0.90455	0.312219	0.879904	0.242098	0.17991	0.097276	0.168283	0.683635	0.955729	399.513	165.218	0	0	0	0	0	0	0	
0.989593	0.449009	0.926805	0.818711	0.749545	0.72079	0.984353	0.590026	0.914298	434.93	109.498	0	0	0	0	0	0	0	
0.555439	0.441414	0.330663	0.990179	0.746338	0.0668287	0.0294369	0.336045	0.939888	405.31	2703.04	0	0	0	0	0	0	0	
0.467957	0.219569	0.235083	0.159658	0.357368	0.42189	0.119445	0.0382536	0.941718	409.027	56.6189	0	0	0	0	0	0	0	
0.409712	0.988568	0.728769	0.426677	0.179371	0.458022	0.158493	0.560873	0.970144	416.09	1438.28	0	0	0	0	0	0	0	
0.597775	0.0598156	0.44159	0.0590574	0.44047	0.782889	0.821904	0.42665	0.977298	380.01	252.555	0	0	0	0	0	0	0	
0.651117	0.424429	0.00323153	0.0184239	0.839668	0.437647	0.931344	0.911062	0.966253	347.964	73.7733	0	0	0	0	0	0	0	
0.273991	0.154032	0.296158	0.0817767	0.359998	0.682726	0.68024	0.850408	0.944512	426.548	109.523	0	0	0	0	0	0	0	
0.68048	0.795846	0.233731	0.854377	0.0395436	0.625027	0.276234	0.673173	0.925129	382.665	2393.68	0	0	0	0	0	0	0	
0.668732	0.031574	0.653234	0.240785	0.991581	0.983328	0.83168	0.503091	0.956362	337.942	219.931	0	0	0	0	0	0	0	
0.455849	0.954662	0.812453	0.578723	0.827839	0.972825	0.211304	0.723844	0.951832	433.642	1655.01	0	0	0	0	0	0	0	
0.446263	0.34787	0.454218	0.523169	0.299331	0.509184	0.496719	0.688166	0.952437	453.627	1022.28	0	0	0	0	0	0	0	
0.349285	0.707287	0.265338	0.396757	0.0500807	0.619471	0.264744	0.515517	0.956693	415.24	1149.47	0	0	0	0	0	0	0	
