#NSGA2
popsize 50
maxGen 200
numVar 8
numObj 3
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	150.842
firstFrontCount	1
frontCount	50
avgEvalTime	3.01493
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
0.874681	0.640588	0.27019	0.186375	0.163663	0.124168	0.819496	0.246879	0.989346	391.059	47.1967	0	0	0	0	0	0	
0.774341	0.600026	0.911583	0.720479	0.65915	0.447456	0.202559	0.82276	0.990561	452.446	216.423	0	0	0	0	0	0	
0.311032	0.214699	0.23818	0.713847	0.81212	0.818166	0.388792	0.729769	0.983806	420.613	3997.07	0	0	0	0	0	0	
0.512394	0.793128	0.427237	0.0376495	0.244857	0.873238	0.788521	0.65025	1.01023	367.692	69.8677	0	0	0	0	0	0	
0.936949	0.801938	0.57091	0.368212	0.10993	0.293437	0.298991	0.327526	0.988528	432.834	46.6276	0	0	0	0	0	0	
0.25096	0.851813	0.586296	0.800033	0.330596	0.300692	0.780987	0.697981	0.980307	410.262	2504.21	0	0	0	0	0	0	
0.494469	0.47452	0.978134	0.492349	0.595218	0.371684	0.0239508	0.517821	0.994253	445.378	913.497	0	0	0	0	0	0	
0.161898	0.15882	0.994355	0.869047	0.602228	0.281226	0.720244	0.0930778	0.995859	371.551	5823.01	0	0	0	0	0	0	
0.76759	0.592961	0.695293	0.663575	0.864576	0.275698	0.675351	0.621016	0.994635	463.531	209.939	0	0	0	0	0	0	
0.522812	0.956071	0.805078	0.727985	0.617704	0.355949	0.784081	0.198555	1.00283	457.531	2094.58	0	0	0	0	0	0	
0.684523	0.258238	0.381513	0.890133	0.211711	0.850927	0.0874003	0.643077	0.989106	410.964	1835.49	0	0	0	0	0	0	
0.149166	0.592082	0.232588	0.595714	0.883641	0.730948	0.558231	0.117449	0.989947	402.923	3025	0	0	0	0	0	0	
0.996097	0.459721	0.358537	0.484719	0.496661	0.827548	0.904964	0.910179	0.989705	428.369	120.052	0	0	0	0	0	0	
0.22329	0.712659	0.874208	0.310365	0.92198	0.82932	0.601897	0.684632	0.991553	406.579	1770.74	0	0	0	0	0	0	
0.25988	0.487841	0.656655	0.153835	0.576707	0.602689	0.207391	0.893952	0.995819	407.821	496.121	0	0	0	0	0	0	
0.76008	0.833113	0.177422	0.171884	0.228822	0.834055	0.950026	0.055735	1.00764	377.383	60.1308	0	0	0	0	0	0	
0.869683	0.362514	0.975348	0.235488	0.479549	0.943607	0.135539	0.971067	0.98382	400.138	179.239	0	0	0	0	0	0	
0.785429	0.0381911	0.256766	0.306842	0.893977	0.538486	0.335774	0.550361	0.991676	357.297	201.704	0	0	0	0	0	0	
0.923159	0.455876	0.857968	0.0970881	0.475766	0.140431	0.209449	0.962919	0.994172	372.132	165.344	0	0	0	0	0	0	
0.685578	0.712683	0.646746	0.12614	0.55777	0.938421	0.948711	0.958594	0.977532	390.577	72.8183	0	0	0	0	0	0	
0.709234	0.680648	0.310327	0.263636	0.714949	0.642649	0.30719	0.294369	0.998654	417.405	47.1442	0	0	0	0	0	0	
0.374867	0.543036	0.140759	0.949888	0.709968	0.713195	0.350133	0.307311	0.971317	380.24	3498.74	0	0	0	0	0	0	
0.181142	0.932544	0.400818	0.346601	0.719869	0.696906	0.470826	0.624827	0.992916	403.353	2063.77	0	0	0	0	0	0	
0.752	0.414765	0.209168	0.827206	0.788069	0.919266	0.419072	0.808255	1.00543	400.376	1317.94	0	0	0	0	0	0	
0.686493	0.480188	0.558802	0.842756	0.523494	0.560372	0.649815	0.54762	0.993236	454.014	1030.91	0	0	0	0	0	0	
0.810331	0.887919	0.707748	0.896478	0.905156	0.445932	0.92357	0.187669	0.99176	457.523	1006.42	0	0	0	0	0	0	
0.0952452	0.639488	0.051027	0.305196	0.947268	0.780965	0.297337	0.760054	1.00294	368.798	3242.96	0	0	0	0	0	0	
0.961505	0.40762	0.108286	0.45878	0.392489	0.592051	0.801571	0.739705	0.985142	387.338	101.907	0	0	0	0	0	0	
