#NSGA2
popsize 50
maxGen 200
numVar 8
numObj 2
numCons 7
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	13.6063
firstFrontCount	1
frontCount	50
avgEvalTime	0.270766
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	
0.227782	0.115925	0.165691	0.477935	0.282353	0.140543	0.816	0.377475	235.909	2021.65	0	0	0	0	0	0	0	
0.249222	0.0764913	0.293914	0.564096	0.403304	0.843767	0.826172	0.375929	234.336	2006.13	0	0	0	0	0	0	0	
0.00149363	0.743953	0.344977	0.755961	0.50888	0.903426	0.615868	0.0578418	230.708	22004.5	0	0	0	0	0	0	0	
0.551175	0.588116	0.247215	0.884156	0.055524	0.98078	0.498662	0.515308	233.116	32007.5	0	0	0	0	0	0	0	
0.2523	0.849639	0.382277	0.630482	0.855861	0.28553	0.248832	0.565421	234.905	12006.8	0	0	0	0	0	0	0	
0.701902	0.78928	0.830189	0.487003	0.940401	0.721973	0.551098	0.522295	234.021	234016	0	0	0	0	0	0	0	
0.788548	0.580295	0.0574011	0.15775	0.193097	0.0931751	0.965506	0.440944	240.863	244000	0	0	0	0	0	0	0	
0.209294	0.602077	0.805221	0.855164	0.177637	0.319845	0.462983	0.526836	233.581	4.95723	0	0	0	0	0	0	0	
0.928404	0.217078	0.299089	0.696624	0.12939	0.901992	0.0816311	0.633282	237.758	222001	0	0	0	0	0	0	0	
0.0622694	0.908012	0.385038	0.0803563	0.708372	0.978329	0.684327	0.403697	240.457	123692	0	0	0	0	0	0	0	
0.117498	0.259066	0.212516	0.0802513	0.298135	0.245358	0.506662	0.503189	233.128	224000	0	0	0	0	0	0	0	
0.463061	0.882567	0.696603	0.0235418	0.093979	0.0238504	0.563888	0.472273	242.83	223004	0	0	0	0	0	0	0	
0.603142	0.526903	0.334522	0.852877	0.533342	0.30711	0.0868505	0.00851844	236.357	124013	0	0	0	0	0	0	0	
0.316071	0.264231	0.651073	0.870124	0.308645	0.510553	0.48264	0.145742	235.671	2006.91	0	0	0	0	0	0	0	
0.636495	0.287563	0.322689	0.735161	0.826779	0.759089	0.375296	0.785496	236.204	224001	0	0	0	0	0	0	0	
0.217645	0.0662714	0.790156	0.943369	0.583577	0.382056	0.930723	0.476797	234.865	3005.33	0	0	0	0	0	0	0	
0.521652	0.062914	0.562157	0.98384	0.631869	0.690779	0.342567	0.590453	230.534	2010.87	0	0	0	0	0	0	0	
0.52797	0.220997	0.635945	0.795167	0.154673	0.0765405	0.283093	0.635491	234.233	12027.8	0	0	0	0	0	0	0	
0.404577	0.419028	0.214444	0.0710593	0.259952	0.0858933	0.390728	0.206496	235.983	245000	0	0	0	0	0	0	0	
0.880806	0.941193	0.113948	0.113233	0.385956	0.770845	0.0246881	0.849545	240.208	244001	0	0	0	0	0	0	0	
0.372538	0.666223	0.409354	0.457946	0.0333403	0.698405	0.148651	0.976622	233.356	42009.8	0	0	0	0	0	0	0	
0.789212	0.17512	0.0225352	0.443263	0.627305	0.779779	0.428034	0.013677	243.657	224001	0	0	0	0	0	0	0	
0.175362	0.356078	0.498647	0.878591	0.799806	0.0595792	0.117482	0.861953	230.481	1004.19	0	0	0	0	0	0	0	
0.786944	0.578653	0.218417	0.318145	0.113052	0.40324	0.865026	0.122608	233.721	244000	0	0	0	0	0	0	0	
0.877043	0.387419	0.744546	0.517646	0.215922	0.581576	0.00681452	0.667458	232.021	223001	0	0	0	0	0	0	0	
0.798849	0.772694	0.75834	0.458761	0.556851	0.152894	0.242334	0.916098	235.023	246000	0	0	0	0	0	0	0	
0.673707	0.405135	0.825984	0.608627	0.349814	0.649167	0.82557	0.774716	234.136	204003	0	0	0	0	0	0	0	
0.550751	0.410306	0.10324	0.292556	0.606382	0.263441	0.650658	0.889144	227.59	244000	0	0	0	0	0	0	0	
0.193774	0.984541	0.467197	0.906489	0.65528	0.540594	0.655595	0.961775	240.491	2006.77	0	0	0	0	0	0	0	
0.370792	0.791533	0.076695	0.339494	0.971284	0.592318	0.164153	0.978149	234.714	242000	0	0	0	0	0	0	0	
0.695811	0.512736	0.735298	0.83052	0.98526	0.492023	0.229786	0.908756	232.226	222001	0	0	0	0	0	0	0	
0.826749	0.0160111	0.427169	0.667587	0.982954	0.207083	0.618254	0.870014	220.046	222001	0	0	0	0	0	0	0	
0.0889307	0.858308	0.955017	0.989268	0.246028	0.7513	0.164244	0.0276309	233.166	22005.1	0	0	0	0	0	0	0	
0.0718429	0.364668	0.0191585	0.22192	0.219295	0.746619	0.766585	0.542734	243.69	32013.6	0	0	0	0	0	0	0	
0.727398	0.60893	0.736371	0.374834	0.480849	0.286732	0.525662	0.497573	235.03	244000	0	0	0	0	0	0	0	
0.0800226	0.935844	0.997252	0.657309	0.199568	0.909963	0.60424	0.413931	234.267	24005.8	0	0	0	0	0	0	0	
0.221611	0.500879	0.898756	0.855683	0.815368	0.421733	0.269074	0.608268	227.752	2004.74	0	0	0	0	0	0	0	
0.858836	0.622452	0.0217814	0.985761	0.595088	0.359492	0.542105	0.434503	236.149	224001	0	0	0	0	0	0	0	
0.935334	0.116301	0.0903997	0.572015	0.610035	0.385233	0.725344	0.614654	242.967	223007	0	0	0	0	0	0	0	
0.516846	0.385724	0.913702	0.552716	0.827257	0.371678	0.484085	0.28174	233.028	4019.73	0	0	0	0	0	0	0	
0.995628	0.483282	0.624628	0.0455766	0.674339	0.175859	0.43951	0.201909	226.163	246000	0	0	0	0	0	0	0	
0.355642	0.0567111	0.038469	0.214264	0.379784	0.582572	0.546103	0.406822	231.448	224000	0	0	0	0	0	0	0	
0.0163001	0.141654	0.286157	0.0892651	0.717051	0.792246	0.839917	0.336499	245.559	22015.5	0	0	0	0	0	0	0	
0.632806	0.140995	0.717172	0.359527	0.950176	0.305973	0.227197	0.479533	229.918	204002	0	0	0	0	0	0	0	
0.324178	0.664433	0.271416	0.325059	0.576573	0.117683	0.112188	0.304087	236.108	243002	0	0	0	0	0	0	0	
0.919169	0.573963	0.68429	0.805309	0.12225	0.603049	0.180046	0.0206223	232.871	122024	0	0	0	0	0	0	0	
0.9667	0.297744	0.653191	0.483043	0.414457	0.639169	0.568026	0.135887	227.039	224001	0	0	0	0	0	0	0	
0.28839	0.951584	0.867603	0.539271	0.556044	0.422252	0.0561204	0.318984	232.295	24005.9	0	0	0	0	0	0	0	
0.519775	0.555481	0.338476	0.867392	0.864749	0.480958	0.424572	0.31296	234.739	24010.7	0	0	0	0	0	0	0	
0.300463	0.090742	0.593019	0.744048	0.827867	0.620187	0.151459	0.784055	237.696	2007.4	0	0	0	0	0	0	0	



#Generation 2 / 200
currentGen	2
evaluateCount	100
totalTime	27.2035
firstFrontCount	1
frontCount	50
avgEvalTime	0.249194
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	
0.209294	0.602077	0.805221	0.855164	0.177637	0.319845	0.462983	0.526836	233.581	4.95723	0	0	0	0	0	0	0	
0.284898	0.602077	0.805221	0.855164	0.177637	0.319845	0.236905	0.624704	239.892	5.19162	0	0	0	0	0	0	0	
0.175362	0.356078	0.498647	0.878591	0.799806	0.0595792	0.117482	0.861953	230.481	1004.19	0	0	0	0	0	0	0	
0.175362	0.356078	0.498647	0.941311	0.799806	0.350528	1	0.792009	237.906	1004.51	0	0	0	0	0	0	0	
0.209294	0.682243	0.740802	0.855164	0.205286	0.319845	0.462983	0.795156	241.02	1006.12	0	0	0	0	0	0	0	
0.127454	0.656655	0.898756	0.855683	0.938844	0.486892	0.228339	0.596661	233.916	1007.59	0	0	0	0	0	0	0	
0.27204	0.405135	0.825984	0.719289	0.43066	0.649167	0.82557	0.563939	226.421	2004.52	0	0	0	0	0	0	0	
0.217645	0.0974634	0.790156	1	0.583577	0	0.0581546	0.546741	233.989	2004.09	0	0	0	0	0	0	0	
0.221611	0.500879	0.898756	0.855683	0.815368	0.421733	0.269074	0.608268	227.752	2004.74	0	0	0	0	0	0	0	
